Date,Year,Quarter,Month,Month in text,Week,Day
2023-05-03 00:00:00,2023,2,5,May,18,3
2023-05-04 00:00:00,2023,2,5,May,18,4
2023-05-05 00:00:00,2023,2,5,May,18,5
2023-05-06 00:00:00,2023,2,5,May,18,6
2023-05-07 00:00:00,2023,2,5,May,19,7
2023-05-08 00:00:00,2023,2,5,May,19,8
2023-05-09 00:00:00,2023,2,5,May,19,9
2023-05-10 00:00:00,2023,2,5,May,19,10
2023-05-11 00:00:00,2023,2,5,May,19,11
2023-05-12 00:00:00,2023,2,5,May,19,12
2023-05-13 00:00:00,2023,2,5,May,19,13
2023-05-14 00:00:00,2023,2,5,May,20,14
2023-05-15 00:00:00,2023,2,5,May,20,15
2023-05-16 00:00:00,2023,2,5,May,20,16
2023-05-17 00:00:00,2023,2,5,May,20,17
2023-05-18 00:00:00,2023,2,5,May,20,18
2023-05-19 00:00:00,2023,2,5,May,20,19
2023-05-20 00:00:00,2023,2,5,May,20,20
2023-05-21 00:00:00,2023,2,5,May,21,21
2023-05-22 00:00:00,2023,2,5,May,21,22
2023-05-23 00:00:00,2023,2,5,May,21,23
2023-05-24 00:00:00,2023,2,5,May,21,24
2023-05-25 00:00:00,2023,2,5,May,21,25
2023-05-26 00:00:00,2023,2,5,May,21,26
2023-05-27 00:00:00,2023,2,5,May,21,27
2023-05-28 00:00:00,2023,2,5,May,22,28
2023-05-29 00:00:00,2023,2,5,May,22,29
2023-05-30 00:00:00,2023,2,5,May,22,30
2023-05-31 00:00:00,2023,2,5,May,22,31
2023-06-01 00:00:00,2023,2,6,June,22,1
2023-06-02 00:00:00,2023,2,6,June,22,2
2023-06-03 00:00:00,2023,2,6,June,22,3
2023-06-04 00:00:00,2023,2,6,June,23,4
2023-06-05 00:00:00,2023,2,6,June,23,5
2023-06-06 00:00:00,2023,2,6,June,23,6
2023-06-07 00:00:00,2023,2,6,June,23,7
2023-06-08 00:00:00,2023,2,6,June,23,8
2023-06-09 00:00:00,2023,2,6,June,23,9
2023-06-10 00:00:00,2023,2,6,June,23,10
2023-06-11 00:00:00,2023,2,6,June,24,11
2023-06-12 00:00:00,2023,2,6,June,24,12
2023-06-13 00:00:00,2023,2,6,June,24,13
2023-06-14 00:00:00,2023,2,6,June,24,14
2023-06-15 00:00:00,2023,2,6,June,24,15
2023-06-16 00:00:00,2023,2,6,June,24,16
2023-06-17 00:00:00,2023,2,6,June,24,17
2023-06-18 00:00:00,2023,2,6,June,25,18
2023-06-19 00:00:00,2023,2,6,June,25,19
2023-06-20 00:00:00,2023,2,6,June,25,20
2023-06-21 00:00:00,2023,2,6,June,25,21
2023-06-22 00:00:00,2023,2,6,June,25,22
2023-06-23 00:00:00,2023,2,6,June,25,23
2023-06-24 00:00:00,2023,2,6,June,25,24
2023-06-25 00:00:00,2023,2,6,June,26,25
2023-06-26 00:00:00,2023,2,6,June,26,26
2023-06-27 00:00:00,2023,2,6,June,26,27
2023-06-28 00:00:00,2023,2,6,June,26,28
2023-06-29 00:00:00,2023,2,6,June,26,29
2023-06-30 00:00:00,2023,2,6,June,26,30
2023-07-01 00:00:00,2023,3,7,July,26,1
2023-07-02 00:00:00,2023,3,7,July,27,2
2023-07-03 00:00:00,2023,3,7,July,27,3
2023-07-04 00:00:00,2023,3,7,July,27,4
2023-07-05 00:00:00,2023,3,7,July,27,5
2023-07-06 00:00:00,2023,3,7,July,27,6
2023-07-07 00:00:00,2023,3,7,July,27,7
2023-07-08 00:00:00,2023,3,7,July,27,8
2023-07-09 00:00:00,2023,3,7,July,28,9
2023-07-10 00:00:00,2023,3,7,July,28,10
2023-07-11 00:00:00,2023,3,7,July,28,11
2023-07-12 00:00:00,2023,3,7,July,28,12
2023-07-13 00:00:00,2023,3,7,July,28,13
2023-07-14 00:00:00,2023,3,7,July,28,14
2023-07-15 00:00:00,2023,3,7,July,28,15
2023-07-16 00:00:00,2023,3,7,July,29,16
2023-07-17 00:00:00,2023,3,7,July,29,17
2023-07-18 00:00:00,2023,3,7,July,29,18
2023-07-19 00:00:00,2023,3,7,July,29,19
2023-07-20 00:00:00,2023,3,7,July,29,20
2023-07-21 00:00:00,2023,3,7,July,29,21
2023-07-22 00:00:00,2023,3,7,July,29,22
2023-07-23 00:00:00,2023,3,7,July,30,23
2023-07-24 00:00:00,2023,3,7,July,30,24
2023-07-25 00:00:00,2023,3,7,July,30,25
2023-07-26 00:00:00,2023,3,7,July,30,26
2023-07-27 00:00:00,2023,3,7,July,30,27
2023-07-28 00:00:00,2023,3,7,July,30,28
2023-07-29 00:00:00,2023,3,7,July,30,29
2023-07-30 00:00:00,2023,3,7,July,31,30
2023-07-31 00:00:00,2023,3,7,July,31,31
2023-08-01 00:00:00,2023,3,8,August,31,1
2023-08-02 00:00:00,2023,3,8,August,31,2
2023-08-03 00:00:00,2023,3,8,August,31,3
2023-08-04 00:00:00,2023,3,8,August,31,4
2023-08-05 00:00:00,2023,3,8,August,31,5
2023-08-06 00:00:00,2023,3,8,August,32,6
2023-08-07 00:00:00,2023,3,8,August,32,7
2023-08-08 00:00:00,2023,3,8,August,32,8
2023-08-09 00:00:00,2023,3,8,August,32,9
2023-08-10 00:00:00,2023,3,8,August,32,10
2023-08-11 00:00:00,2023,3,8,August,32,11
2023-08-12 00:00:00,2023,3,8,August,32,12
2023-08-13 00:00:00,2023,3,8,August,33,13
2023-08-14 00:00:00,2023,3,8,August,33,14
2023-08-15 00:00:00,2023,3,8,August,33,15
2023-08-16 00:00:00,2023,3,8,August,33,16
2023-08-17 00:00:00,2023,3,8,August,33,17
2023-08-18 00:00:00,2023,3,8,August,33,18
2023-08-19 00:00:00,2023,3,8,August,33,19
2023-08-20 00:00:00,2023,3,8,August,34,20
2023-08-21 00:00:00,2023,3,8,August,34,21
2023-08-22 00:00:00,2023,3,8,August,34,22
2023-08-23 00:00:00,2023,3,8,August,34,23
2023-08-24 00:00:00,2023,3,8,August,34,24
2023-08-25 00:00:00,2023,3,8,August,34,25
2023-08-26 00:00:00,2023,3,8,August,34,26
2023-08-27 00:00:00,2023,3,8,August,35,27
2023-08-28 00:00:00,2023,3,8,August,35,28
2023-08-29 00:00:00,2023,3,8,August,35,29
2023-08-30 00:00:00,2023,3,8,August,35,30
2023-08-31 00:00:00,2023,3,8,August,35,31
2023-09-01 00:00:00,2023,3,9,September,35,1
2023-09-02 00:00:00,2023,3,9,September,35,2
2023-09-03 00:00:00,2023,3,9,September,36,3
2023-09-04 00:00:00,2023,3,9,September,36,4
2023-09-05 00:00:00,2023,3,9,September,36,5
2023-09-06 00:00:00,2023,3,9,September,36,6
2023-09-07 00:00:00,2023,3,9,September,36,7
2023-09-08 00:00:00,2023,3,9,September,36,8
2023-09-09 00:00:00,2023,3,9,September,36,9
2023-09-10 00:00:00,2023,3,9,September,37,10
2023-09-11 00:00:00,2023,3,9,September,37,11
2023-09-12 00:00:00,2023,3,9,September,37,12
2023-09-13 00:00:00,2023,3,9,September,37,13
2023-09-14 00:00:00,2023,3,9,September,37,14
2023-09-15 00:00:00,2023,3,9,September,37,15
2023-09-16 00:00:00,2023,3,9,September,37,16
2023-09-17 00:00:00,2023,3,9,September,38,17
2023-09-18 00:00:00,2023,3,9,September,38,18
2023-09-19 00:00:00,2023,3,9,September,38,19
2023-09-20 00:00:00,2023,3,9,September,38,20
2023-09-21 00:00:00,2023,3,9,September,38,21
2023-09-22 00:00:00,2023,3,9,September,38,22
2023-09-23 00:00:00,2023,3,9,September,38,23
2023-09-24 00:00:00,2023,3,9,September,39,24
2023-09-25 00:00:00,2023,3,9,September,39,25
2023-09-26 00:00:00,2023,3,9,September,39,26
2023-09-27 00:00:00,2023,3,9,September,39,27
2023-09-28 00:00:00,2023,3,9,September,39,28
2023-09-29 00:00:00,2023,3,9,September,39,29
2023-09-30 00:00:00,2023,3,9,September,39,30
2023-10-01 00:00:00,2023,4,10,October,40,1
2023-10-02 00:00:00,2023,4,10,October,40,2
2023-10-03 00:00:00,2023,4,10,October,40,3
2023-10-04 00:00:00,2023,4,10,October,40,4
2023-10-05 00:00:00,2023,4,10,October,40,5
2023-10-06 00:00:00,2023,4,10,October,40,6
2023-10-07 00:00:00,2023,4,10,October,40,7
2023-10-08 00:00:00,2023,4,10,October,41,8
2023-10-09 00:00:00,2023,4,10,October,41,9
2023-10-10 00:00:00,2023,4,10,October,41,10
2023-10-11 00:00:00,2023,4,10,October,41,11
2023-10-12 00:00:00,2023,4,10,October,41,12
2023-10-13 00:00:00,2023,4,10,October,41,13
2023-10-14 00:00:00,2023,4,10,October,41,14
2023-10-15 00:00:00,2023,4,10,October,42,15
2023-10-16 00:00:00,2023,4,10,October,42,16
2023-10-17 00:00:00,2023,4,10,October,42,17
2023-10-18 00:00:00,2023,4,10,October,42,18
2023-10-19 00:00:00,2023,4,10,October,42,19
2023-10-20 00:00:00,2023,4,10,October,42,20
2023-10-21 00:00:00,2023,4,10,October,42,21
2023-10-22 00:00:00,2023,4,10,October,43,22
2023-10-23 00:00:00,2023,4,10,October,43,23
2023-10-24 00:00:00,2023,4,10,October,43,24
2023-10-25 00:00:00,2023,4,10,October,43,25
2023-10-26 00:00:00,2023,4,10,October,43,26
2023-10-27 00:00:00,2023,4,10,October,43,27
2023-10-28 00:00:00,2023,4,10,October,43,28
2023-10-29 00:00:00,2023,4,10,October,44,29
2023-10-30 00:00:00,2023,4,10,October,44,30
2023-10-31 00:00:00,2023,4,10,October,44,31
2023-11-01 00:00:00,2023,4,11,November,44,1
2023-11-02 00:00:00,2023,4,11,November,44,2
2023-11-03 00:00:00,2023,4,11,November,44,3
2023-11-04 00:00:00,2023,4,11,November,44,4
2023-11-05 00:00:00,2023,4,11,November,45,5
2023-11-06 00:00:00,2023,4,11,November,45,6
2023-11-07 00:00:00,2023,4,11,November,45,7
2023-11-08 00:00:00,2023,4,11,November,45,8
2023-11-09 00:00:00,2023,4,11,November,45,9
2023-11-10 00:00:00,2023,4,11,November,45,10
2023-11-11 00:00:00,2023,4,11,November,45,11
2023-11-12 00:00:00,2023,4,11,November,46,12
2023-11-13 00:00:00,2023,4,11,November,46,13
2023-11-14 00:00:00,2023,4,11,November,46,14
2023-11-15 00:00:00,2023,4,11,November,46,15
2023-11-16 00:00:00,2023,4,11,November,46,16
2023-11-17 00:00:00,2023,4,11,November,46,17
2023-11-18 00:00:00,2023,4,11,November,46,18
2023-11-19 00:00:00,2023,4,11,November,47,19
2023-11-20 00:00:00,2023,4,11,November,47,20
2023-11-21 00:00:00,2023,4,11,November,47,21
2023-11-22 00:00:00,2023,4,11,November,47,22
2023-11-23 00:00:00,2023,4,11,November,47,23
2023-11-24 00:00:00,2023,4,11,November,47,24
2023-11-25 00:00:00,2023,4,11,November,47,25
2023-11-26 00:00:00,2023,4,11,November,48,26
